"tree_node_id";"period_id";"state_id";"effect_id";"currency_id";"financials_decumulated_amount";"financials_cumulated_amount";"financials_base_currency_flag";"financials_level_aggregation";"snapshot_date"
"067ddc38b745449599f039a86a92b74d";"2020";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;2811;2811;true;;"2021-02-18 23:59:59"
"067ddc38b745449599f039a86a92b74d";"2021";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;1816;1816;true;;"2021-02-18 23:59:59"
"067ddc38b745449599f039a86a92b74d";"9999";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;4627;4627;true;;"2021-02-18 23:59:59"
"9cb7e0e0adae4060a3847940584570d3";"20210131";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;189;189;true;;"2021-02-18 23:59:59"
"9cb7e0e0adae4060a3847940584570d3";"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;137;137;true;;"2021-02-18 23:59:59"
"9cb7e0e0adae4060a3847940584570d3";"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;181;181;true;;"2021-02-18 23:59:59"
"9cb7e0e0adae4060a3847940584570d3";"2020";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;318;318;true;;"2021-02-18 23:59:59"
"9cb7e0e0adae4060a3847940584570d3";"2021";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;189;189;true;;"2021-02-18 23:59:59"
"9cb7e0e0adae4060a3847940584570d3";"9999";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;507;507;true;;"2021-02-18 23:59:59"
da29972a5bce4b17a5d1014eaf94da51;"20210131";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;663;663;true;;"2021-02-18 23:59:59"
da29972a5bce4b17a5d1014eaf94da51;"20201130";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;418;418;true;;"2021-02-18 23:59:59"
da29972a5bce4b17a5d1014eaf94da51;"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;575;575;true;;"2021-02-18 23:59:59"
da29972a5bce4b17a5d1014eaf94da51;"2020";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;993;993;true;;"2021-02-18 23:59:59"
da29972a5bce4b17a5d1014eaf94da51;"2021";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;663;663;true;;"2021-02-18 23:59:59"
da29972a5bce4b17a5d1014eaf94da51;"9999";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;1656;1656;true;;"2021-02-18 23:59:59"
"98bdb509e11844ab8e95a8b5e4ea4b01";"20201231";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;397;397;true;;"2021-02-18 23:59:59"
"98bdb509e11844ab8e95a8b5e4ea4b01";"20210131";Valeur Actuelle;Nombre d’entrées en service civique - SCI;EUR;613;613;true;;"2021-02-18 23:59:59"
