"structure_id","top_level_id","structure_name","structure_is_part_of_update_period","structure_scorecard_frequency","structure_is_hidden","structure_has_correction","structure_level","snapshot_date"
bd18ac369c534258acda4ae5693ab531,"7432ab1ac49e439eb921d3fc47f9b3ef",Département,false,"",false,false,30,"2021-03-05 23:59:59"
"6768194ac5f44b0ead5d12ce3830abb8",e32e96fc561a43a1b7517325e41cd140,Département,false,Monthly,false,false,30,"2021-03-05 23:59:59"
f285b64891bb4eee8bd15e7d4f0153d9,e60ba2aa343e46d7be01b3415d124670,Milestone,false,"",false,false,3000,"2021-03-05 23:59:59"
"8bb5f418b1cf4ef891e1314442533546",d30b145420b54405975a0fec31db9ac4,Région,false,"",false,false,20,"2021-03-05 23:59:59"
"78534e29412d48ef8f71cd4140ed4624","57ad11ea19bb41f0b6cbceb6790cbe74",Pays,false,"",false,false,15,"2021-03-05 23:59:59"
d9ab021d0d2f443d93dc8a0d1d33114c,e60ba2aa343e46d7be01b3415d124670,Région,false,"",false,false,20,"2021-03-05 23:59:59"
"12ec1b18806d4a07853481954d381705","57ad11ea19bb41f0b6cbceb6790cbe74",Mesure,true,Monthly,false,false,10,"2021-03-05 23:59:59"
bbd66e5c53e8417bb1323b72938930b6,aa87e053e2da43c6a5aace7dddb01133,Milestone,false,"",false,false,3000,"2021-03-05 23:59:59"
a8e2f83fa90545f894dcfa93a1f645cb,"5b5e6c2a2d554d058ddf8285fa05afc7",Région,false,"",false,false,20,"2021-03-05 23:59:59"
dbbf08ffe85648b7881bda20d0c8c73b,"0d534b1da37e41618105219ca093ad04",Région Académique,false,"",false,false,20,"2021-03-05 23:59:59"
c03e6373710c4c3ab29f7860686833f3,aa87e053e2da43c6a5aace7dddb01133,Tribunaux judiciaires,false,"",false,false,30,"2021-03-05 23:59:59"
"1f033be554fe4f7694db6f8e7638c813",e54776ef15824579b63591f3a53bd4b4,Mesure,true,Monthly,false,false,10,"2021-03-05 23:59:59"
b6b13cfe0ff5460187cd35f663b8d512,e32e96fc561a43a1b7517325e41cd140,Milestone,false,"",false,false,3000,"2021-03-05 23:59:59"
ddc073dc8e224df99a2a70ce37fca0e5,"523b9e6abd3a4e56a7535e8eee95b78d",Mesure,true,Monthly,false,false,10,"2021-03-05 23:59:59"
e3edadafaa9c4d86bc84e927756235e8,"69495a0beee54719a83f022004c9548d",Mesure,true,Monthly,false,false,10,"2021-03-05 23:59:59"
